,host,count,Name,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25,Order,Family,Genus
,Coccoloba cf.porphyrostachys,1,Coccoloba,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Polygonaceae,Eriogonoideae,Coccolobeae,Coccoloba,NA,NA,NA,NA,NA,NA,Caryophyllales,Polygonaceae,Coccoloba
,Coffea stenophylla,1,Coffea stenophylla,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Ixoroideae,Gardenieae complex,Bertiereae - Coffeeae clade,Coffeeae,Coffea,NA,NA,Gentianales,Rubiaceae,Coffea
,Connarus panamensis,1,Connarus panamensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Oxalidales,Connaraceae,Connarus,NA,NA,NA,NA,NA,NA,Oxalidales,Connaraceae,Connarus
,Cornus disciflora,1,Cornus disciflora,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Cornales,Cornaceae,Cornus,NA,NA,NA,NA,NA,NA,NA,Cornales,Cornaceae,Cornus
,Cucurbita pepo,1,Cucurbita pepo,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Cucurbitales,Cucurbitaceae,Cucurbiteae,Cucurbita,NA,NA,NA,NA,NA,Cucurbitales,Cucurbitaceae,Cucurbita
,Cupressus sp.,1,Cupressus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers II,Cupressaceae,Cupressus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Cupressaceae,Cupressus
,Drymonia sp.,1,,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Lamiales,Gesneriaceae,Gesnerioideae,Gesnerieae,Columneinae,Drymonia,NA,NA,NA,Lamiales,Gesneriaceae,Drymonia
,Elaeagia auriculata,1,Elaeagia auriculata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Ixoroideae,Condamineeae,Elaeagia,NA,NA,NA,NA,Gentianales,Rubiaceae,Elaeagia
,Eugenia sp.,1,,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Myrtaceae,Myrtoideae,Myrteae,Eugenia,NA,NA,NA,NA,Myrtales,Myrtaceae,Eugenia
,Ficus,1,Ficus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Moraceae,NA,NA,NA,NA,NA,NA,NA,Rosales,Moraceae,Ficus
,Frangula cf.oreodendron,1,,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rhamnaceae,rhamnoid group,Rhamneae,Frangula,NA,NA,NA,NA,Rosales,Rhamnaceae,Rhamneae
,Guarea glabra,1,Guarea glabra,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Meliaceae,Guarea,NA,NA,NA,NA,NA,NA,Sapindales,Meliaceae,Guarea
,Hedyosmum mexicanum,1,Hedyosmum mexicanum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Chloranthales,Chloranthaceae,Hedyosmum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chloranthales,Chloranthaceae,Hedyosmum
,Heisteria concinna,1,Heisteria concinna,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Santalales,Erythropalaceae,Heisteria,NA,NA,NA,NA,NA,NA,NA,NA,Santalales,Erythropalaceae,Heisteria
,Inga cf.acrocephala,1,Inga,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Caesalpinioideae,Ingeae,Inga,NA,NA,NA,NA,Fabales,Fabaceae,Inga
,leaves of Stevia rebaudiana Bertoni,1,Stevia,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Asteroideae,Heliantheae alliance,Eupatorieae,Stevia,NA,NA,NA,Asterales,Asteraceae,Stevia
,Limonium sinense leaf,1,Limonium,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Plumbaginaceae,Limonium,NA,NA,NA,NA,NA,NA,NA,NA,Caryophyllales,Plumbaginaceae,Limonium
,Lonchocarpus cf.heptaphyllus,1,Lonchocarpus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Fabales,Fabaceae,Papilionoideae,50 kb inversion clade,NPAAA clade,indigoferoid/millettioid clade,Millettieae,Lonchocarpus,NA,Fabales,Fabaceae,Lonchocarpus
,Maytenus woodsonii,1,Maytenus woodsonii,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Celastrales,Celastraceae,Maytenus,NA,NA,NA,NA,NA,NA,Celastrales,Celastraceae,Maytenus
,Miconia multispicata,1,Miconia multispicata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Melastomataceae,Melastomatoideae,Miconieae,Miconia,NA,NA,NA,NA,Myrtales,Melastomataceae,Miconia
,Monstera deliciosa,1,Monstera deliciosa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Alismatales,Araceae,Pothoideae,Monstereae,Monstera,NA,NA,NA,NA,NA,NA,NA,NA,Alismatales,Araceae,Monstera
,Myrcianthes sp.,1,Myrcianthes,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Myrtales,Myrtaceae,Myrtoideae,Myrteae,Myrcianthes,NA,NA,NA,NA,Myrtales,Myrtaceae,Myrcianthes
,Myrrhidendron maxonii,1,Myrrhidendron maxonii,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Apiales,Apiineae,Apiaceae,Apioideae,apioid superclade,Selineae,Arracacia clade,Myrrhidendron,NA,Apiales,Apiaceae,Myrrhidendron
,Neea sp.,1,Neea,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,Caryophyllales,Nyctaginaceae,Neea,NA,NA,NA,NA,NA,NA,NA,NA,Caryophyllales,Nyctaginaceae,Neea
,Nitraria sphaerocarpa,1,Nitraria sphaerocarpa,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Nitrariaceae,Nitraria,NA,NA,NA,NA,NA,NA,Sapindales,Nitrariaceae,Nitraria
,Oreopanax xalapensis,1,Oreopanax xalapensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Apiales,Apiineae,Araliaceae,Oreopanax,NA,NA,NA,NA,NA,Apiales,Araliaceae,Oreopanax
,Palicourea sp.,1,Palicourea,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Rubioideae,Palicoureeae,Palicourea,NA,NA,NA,NA,Gentianales,Rubiaceae,Palicourea
,Panicum virgatum,1,Panicum virgatum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Poales,Poaceae,PACMAD clade,Panicoideae,Panicodae,Paniceae,Panicinae,Panicum,Panicum sect. Hiantes,NA,NA,Poales,Poaceae,Panicum
,"Peltigera praetextata, Brachythecium fendleri, Pinus leiophylla var. chihuahuana",1,Persea americana var. guatemalensis (nom. inval.),cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Laurales,Lauraceae,Persea,Persea americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurales,Lauraceae,Persea
,Persea americana 'guatemalensis',1,Persea americana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Laurales,Lauraceae,Persea,Persea americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurales,Lauraceae,Persea
,Persea americana var. americana,1,Persea americana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Laurales,Lauraceae,Persea,Persea americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurales,Lauraceae,Persea
,Persea americana var. drymifolia,1,Persea americana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Laurales,Lauraceae,Persea,Persea americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laurales,Lauraceae,Persea
,Philodendron verrucosum,1,Philodendron verrucosum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Alismatales,Araceae,Philodendroideae,Philodendreae,Philodendron,NA,NA,NA,NA,NA,NA,NA,NA,Alismatales,Araceae,Philodendron
,Pinus tabuliformis,1,Pinus tabuliformis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Acrogymnospermae,Pinopsida,Pinidae,Conifers I,Pinaceae,Pinus,Pinus subgen. Pinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinidae,Pinaceae,Pinus
,Piper pittieri,1,Piper pittieri,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Piperales,Piperaceae,Piper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Piperales,Piperaceae,Piper
,Piper reticulatum,1,Piper reticulatum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Piperales,Piperaceae,Piper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Piperales,Piperaceae,Piper
,Prunus cf.annularis,1,Prunus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,fabids,Rosales,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,NA,NA,NA,NA,Rosales,Rosaceae,Prunus
,Psychotria chagrensis,1,Psychotria chagrensis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Rubioideae,Psychotrieae,Psychotria,NA,NA,NA,NA,Gentianales,Rubiaceae,Psychotria
,Psychotria elata,1,Psychotria elata,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Rubioideae,Psychotrieae,Psychotria,NA,NA,NA,NA,Gentianales,Rubiaceae,Psychotria
,Psychotria horizontalis,1,Psychotria horizontalis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Rubioideae,Psychotrieae,Psychotria,NA,NA,NA,NA,Gentianales,Rubiaceae,Psychotria
,Raritebe palicoureoides ssp. dwyerianum,1,Raritebe,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Rubioideae,Urophylleae,Raritebe,NA,NA,NA,NA,Gentianales,Rubiaceae,Raritebe
,Renealmia cernua,1,Renealmia cernua,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Liliopsida,Petrosaviidae,commelinids,Zingiberales,Zingiberaceae,Renealmia,NA,NA,NA,NA,NA,NA,NA,NA,Zingiberales,Zingiberaceae,Renealmia
,Rustia occidentalis,1,Rustia occidentalis,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Rubiaceae,Ixoroideae,Condamineeae,Rustia,NA,NA,NA,NA,Gentianales,Rubiaceae,Rustia
,Styrax argenteus,1,Styrax argenteus,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,Ericales,Styracaceae,Styrax,NA,NA,NA,NA,NA,NA,NA,Ericales,Styracaceae,Styrax
,Tabernaemontana sp.,1,Tabernaemontana,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,lamiids,Gentianales,Apocynaceae,Rauvolfioideae,Tabernaemontaneae,Tabernaemontaninae,Tabernaemontana,NA,NA,NA,Gentianales,Apocynaceae,Tabernaemontana
,Verbesina sp.,1,Verbesina,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,asterids,campanulids,Asterales,Asteraceae,Asteroideae,Heliantheae alliance,Heliantheae,Verbesina,NA,NA,NA,Asterales,Asteraceae,Verbesina
,Virola sp.,1,Virola,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,Magnoliidae,Magnoliales,Myristicaceae,Virola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliales,Myristicaceae,Virola
,Zanthoxylum melanostictum,1,Zanthoxylum melanostictum,cellular organisms,Eukaryota,Viridiplantae,Streptophyta,Streptophytina,Embryophyta,Tracheophyta,Euphyllophyta,Spermatophyta,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,Pentapetalae,rosids,malvids,Sapindales,Rutaceae,Amyridoideae,Zanthoxylum,NA,NA,NA,NA,NA,Sapindales,Rutaceae,Zanthoxylum
